canton,Sex - total,Male,Female
ZH,34746,18904,15842
BE,11717,6254,5463
LU,5924,3296,2628
UR,274,150,124
SZ,1949,1098,851
OW,486,281,205
NW,480,282,198
GL,735,494,241
ZG,3317,1832,1485
FR,5123,2787,2336
SO,2796,1495,1301
BS,6462,3362,3100
BL,3022,1625,1397
SH,1218,616,602
AR,651,369,282
AI,154,86,68
SG,7934,4500,3434
GR,4318,2421,1897
AG,6293,3488,2805
TG,4259,2411,1848
TI,7776,3997,3779
VD,24762,12935,11827
VS,5989,3286,2703
NE,3480,1788,1692
GE,19660,9423,10237
JU,707,377,330
