canton,Sex - total,Male,Female
ZH,33326,18258,15068
BE,12362,6505,5857
LU,5744,3150,2594
UR,508,327,181
SZ,2237,1243,994
OW,484,286,198
NW,578,336,242
GL,559,342,217
ZG,2948,1621,1327
FR,5961,3241,2720
SO,3268,1804,1464
BS,6712,3504,3208
BL,3689,1937,1752
SH,1573,849,724
AR,599,349,250
AI,155,89,66
SG,8166,4762,3404
GR,4509,2540,1969
AG,9669,5437,4232
TG,4779,2677,2102
TI,9342,4917,4425
VD,24922,13300,11622
VS,7743,4329,3414
NE,4007,2153,1854
GE,19561,9571,9990
JU,807,446,361