canton,Sex - total,Male,Female
ZH,37277,20481,16796
BE,16632,9201,7431
LU,7349,4169,3180
UR,500,295,205
SZ,2420,1404,1016
OW,558,347,211
NW,576,350,226
GL,640,374,266
ZG,3186,1787,1399
FR,5398,3028,2370
SO,4253,2531,1722
BS,7528,3985,3543
BL,4094,2204,1890
SH,1633,909,724
AR,704,421,283
AI,173,99,74
SG,9285,5389,3896
GR,4269,2460,1809
AG,11207,6578,4629
TG,4546,2555,1991
TI,9141,4874,4267
VD,27402,14661,12741
VS,7441,3981,3460
NE,3407,1788,1619
GE,21167,10685,10482
JU,890,523,367