canton,Sex - total,Male,Female
ZH,34122,18578,15544
BE,12238,6450,5788
LU,5833,3078,2755
UR,618,325,293
SZ,2166,1200,966
OW,528,319,209
NW,555,318,237
GL,593,365,228
ZG,3003,1593,1410
FR,4930,2612,2318
SO,3712,2111,1601
BS,5965,3097,2868
BL,3053,1585,1468
SH,1330,698,632
AR,501,273,228
AI,135,80,55
SG,8691,5024,3667
GR,3873,2181,1692
AG,9399,5125,4274
TG,4383,2440,1943
TI,6409,3345,3064
VD,23544,12166,11378
VS,7786,4432,3354
NE,3043,1651,1392
GE,18579,9118,9461
JU,635,329,306