"Citizenship","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years or older"
"Switzerland",2114,1606,1200,1499,2567,2762,2444,1994,1839,1812,1679,1329,1083,844,634,373,225,122,46,4,1
"Albania",8,1,2,14,41,38,38,20,12,5,7,1,1,2,0,0,0,0,0,0,0
"Andorra",0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belgium",73,57,44,80,196,219,189,121,105,91,66,26,39,23,16,9,9,4,0,0,0
"Bulgaria",22,33,45,45,115,214,170,138,109,70,31,15,10,5,0,3,2,0,0,0,0
"Denmark",24,44,30,13,36,92,49,66,55,39,37,13,10,4,8,3,0,0,0,0,0
"Germany",895,706,486,745,2842,5774,4333,2482,1858,1887,1425,685,275,133,98,55,28,7,5,1,0
"Finland",39,28,15,20,66,104,86,67,42,32,13,8,1,2,2,0,0,0,0,0,0
"France",670,559,370,934,2096,3082,2271,1416,1067,736,491,345,179,133,82,44,25,17,8,0,0
"Greece",57,74,40,55,151,317,244,200,114,94,60,26,12,7,2,3,6,1,1,0,0
"United Kingdom",285,281,181,161,412,569,634,589,508,411,303,171,66,44,17,9,9,3,2,0,0
"Ireland",41,26,21,15,34,90,93,72,60,53,37,15,7,2,1,1,0,0,0,0,0
"Iceland",4,6,8,4,12,12,9,8,3,2,6,1,0,0,0,0,0,0,0,0,0
"Italy",847,791,654,776,2274,3043,2477,2089,2109,1556,1031,558,274,181,142,94,66,30,10,4,0
"Liechtenstein",1,2,0,4,17,22,18,12,3,2,2,2,0,0,0,0,1,0,0,0,0
"Luxembourg",2,1,2,33,77,36,7,8,4,5,4,3,2,1,0,0,0,0,0,0,0
"Malta",0,0,0,0,3,8,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0
"Monaco",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Netherlands",103,96,58,47,198,259,226,169,178,153,101,71,28,26,7,8,3,2,1,0,0
"Norway",11,12,10,8,39,51,36,13,18,13,11,9,4,1,1,0,0,2,0,0,0
"Austria",120,103,80,147,486,631,464,292,251,236,152,73,25,18,12,1,1,1,0,0,0
"Poland",219,163,95,83,501,1144,1045,652,471,269,223,112,49,10,1,4,0,1,0,0,0
"Portugal",728,802,805,756,2029,2423,2055,1692,1466,1234,785,329,83,13,9,5,3,4,0,0,0
"Romania",61,59,58,111,482,794,491,259,130,96,32,22,11,7,1,3,0,1,0,0,0
"San Marino",0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sweden",50,47,33,35,164,213,114,61,71,48,28,23,14,8,7,1,0,0,0,1,0
"Spain",370,398,310,303,689,1306,1265,1164,909,646,397,190,59,19,14,6,6,5,2,0,0
"Turkey",70,51,55,109,254,326,296,189,127,77,40,20,6,8,13,1,1,0,0,0,0
"Hungary",151,142,87,73,421,854,825,705,447,271,142,62,29,2,5,2,1,0,0,0,0
"Vatican City State",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyprus",8,2,3,4,12,18,11,5,5,5,3,2,0,0,0,2,1,0,0,0,0
"Slovakia",78,63,26,35,424,705,541,339,212,135,102,43,19,2,1,2,0,0,0,0,0
"Czechia",43,32,28,24,170,302,237,213,114,61,34,12,5,3,1,0,0,0,0,0,0
"Serbia",65,38,41,65,313,340,214,142,94,69,40,18,16,7,1,2,1,1,0,0,0
"Croatia",17,14,6,13,81,106,88,56,50,19,20,18,14,2,2,1,0,0,0,0,0
"Slovenia",67,69,49,52,141,215,199,154,98,76,36,14,6,2,0,2,0,0,0,0,0
"Bosnia and Herzegovina",23,8,11,37,154,184,84,56,37,22,17,8,5,4,1,0,0,0,0,0,0
"Montenegro",2,1,0,5,16,17,9,5,3,0,2,1,0,0,1,0,0,0,0,0,0
"North Macedonia",65,59,56,81,459,305,150,75,56,61,22,17,8,3,2,4,3,1,0,0,0
"Kosovo",74,69,68,172,850,562,285,156,81,41,19,15,9,7,9,1,2,1,1,0,0
"Estonia",12,4,11,6,20,49,24,26,16,6,7,2,1,2,0,0,0,0,0,0,0
"Latvia",12,17,8,16,40,81,67,31,22,9,7,9,1,2,1,0,1,0,0,0,0
"Lithuania",8,7,6,11,35,92,64,38,22,8,16,12,3,1,0,0,0,0,0,0,0
"Moldova",3,3,2,5,11,13,13,10,3,2,0,0,0,0,0,0,0,0,0,0,0
"Russia",108,110,174,261,305,350,294,189,134,79,55,45,37,16,9,7,5,1,0,0,0
"Ukraine",22,31,45,84,139,170,173,98,51,30,17,9,10,4,6,1,0,1,0,0,0
"Belarus",5,6,5,13,15,37,27,14,10,8,0,2,2,1,1,0,0,0,0,0,0
"Equatorial Guinea",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Ethiopia",30,6,10,20,29,43,44,21,10,14,2,0,1,0,0,0,0,0,0,0,0
"Djibouti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Algeria",7,8,8,8,16,54,44,35,22,13,9,3,5,2,2,0,0,0,0,0,0
"Angola",5,2,1,9,5,5,4,4,2,6,0,5,1,0,1,0,0,0,0,0,0
"Botswana",1,2,0,0,1,1,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0
"Burundi",2,0,0,0,3,2,3,4,2,0,1,0,0,1,0,0,0,0,0,0,0
"Benin",1,1,0,0,0,8,6,5,2,0,1,1,0,1,0,0,0,0,0,0,0
"Côte d'Ivoire",4,11,5,12,13,20,32,18,8,4,2,0,0,0,0,0,0,0,0,0,0
"Gabon",0,0,1,2,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0
"Gambia",0,2,0,4,6,12,1,9,1,1,0,0,2,0,0,0,0,0,0,0,0
"Ghana",2,7,6,1,9,19,21,14,6,5,4,1,1,0,0,0,0,0,0,0,0
"Guinea-Bissau",1,0,1,2,5,4,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0
"Guinea",8,1,2,21,11,9,10,4,4,0,1,2,0,0,0,0,0,0,0,0,0
"Cameroon",9,24,20,13,19,41,39,24,14,16,6,2,2,2,0,0,0,0,0,0,0
"Cabo Verde",3,2,1,5,3,11,14,5,1,2,0,0,0,1,0,0,0,1,0,0,0
"Kenya",8,26,17,16,27,33,28,33,18,9,8,5,1,2,0,0,0,0,0,0,0
"Comoros",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Congo (Brazzaville)",0,0,1,1,0,5,4,2,4,2,0,1,0,0,0,0,0,0,0,0,0
"Congo (Kinshasa)",7,9,14,20,15,21,27,30,14,5,5,2,0,4,1,1,0,0,0,0,0
"Lesotho",1,0,1,0,1,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Liberia",0,1,1,0,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Libya",10,11,11,10,9,10,11,6,9,8,3,1,1,1,0,0,0,0,0,0,0
"Madagascar",4,2,5,6,10,14,9,9,6,3,1,1,2,0,0,0,0,0,0,0,0
"Malawi",0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"Mali",5,2,2,9,9,12,11,4,4,1,4,1,1,0,1,0,0,0,0,0,0
"Morocco",19,15,8,50,74,114,88,63,35,25,15,5,2,1,0,1,0,0,0,0,0
"Mauritania",1,0,0,0,0,3,2,1,3,1,1,2,0,0,0,0,0,0,0,0,0
"Mauritius",2,6,2,6,10,18,12,10,3,2,4,4,0,0,0,0,0,0,0,0,0
"Mozambique",0,0,1,0,2,2,1,2,2,1,0,1,0,1,0,0,0,0,0,0,0
"Niger",2,0,1,0,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Nigeria",19,21,6,11,22,39,47,30,25,8,10,8,1,0,1,0,0,0,0,0,0
"Burkina Faso",0,2,3,2,6,9,4,6,4,4,0,1,0,0,0,0,0,0,0,0,0
"Zimbabwe",0,2,1,7,8,5,12,3,5,2,4,0,0,0,0,0,0,0,0,0,0
"Rwanda",0,0,0,2,6,6,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0
"Zambia",0,1,1,3,4,1,3,5,2,2,1,0,1,0,0,0,0,0,0,0,0
"Sao Tomé and Principe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Senegal",9,12,7,5,15,25,33,28,12,8,6,7,0,0,0,0,0,0,0,0,0
"Seychelles",0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Sierra Leone",0,0,1,3,1,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0
"Somalia",33,20,21,91,43,34,16,5,4,3,3,2,0,0,1,0,0,0,0,0,0
"South Africa",8,5,7,9,17,38,51,25,18,12,10,10,6,1,2,0,0,0,0,0,0
"Sudan",9,8,4,2,4,14,9,8,10,5,4,0,1,2,1,0,0,0,0,0,0
"Namibia",0,3,4,3,2,3,1,3,0,2,2,0,1,0,0,0,0,0,0,0,0
"Eswatini",0,0,2,1,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"Tanzania",1,1,1,1,4,10,9,6,2,1,1,0,2,0,0,0,0,0,0,0,0
"Togo",7,8,8,5,9,10,8,13,4,6,3,0,0,0,0,0,0,0,0,0,0
"Chad",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tunisia",14,8,3,38,88,133,118,52,22,12,7,5,3,1,0,0,0,0,0,0,0
"Uganda",1,2,0,4,3,7,14,5,4,4,0,0,2,0,0,0,0,0,0,0,0
"Egypt",24,29,14,14,47,81,77,47,20,17,15,9,7,6,3,2,1,0,0,0,0
"Central African Republic",0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"Eritrea",131,110,101,205,261,294,169,91,62,24,11,7,10,2,1,1,0,0,0,0,0
"South Sudan",1,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Western Sahara",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",9,6,7,9,13,39,47,38,23,9,8,2,2,1,1,2,0,1,0,0,0
"Bahamas",0,0,1,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0
"Barbados",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bolivia",3,2,8,8,10,31,19,14,9,6,4,2,0,0,0,1,0,0,0,0,0
"Brazil",72,70,110,113,144,319,344,260,168,78,57,19,17,14,4,1,0,0,0,0,0
"Chile",4,6,2,14,16,35,40,25,15,7,6,6,7,6,0,1,0,0,0,0,0
"Costa Rica",3,0,1,2,10,14,10,4,4,4,4,0,1,0,0,0,0,0,0,0,0
"Dominican Republic",6,29,37,29,39,65,51,39,22,13,4,2,0,0,0,0,0,0,0,0,0
"Ecuador",5,10,14,27,27,32,31,31,18,10,6,6,3,1,1,0,1,0,0,0,0
"El Salvador",0,1,0,1,7,5,8,5,3,0,1,0,0,1,0,0,0,0,0,0,0
"Guatemala",0,1,2,3,4,9,1,2,3,1,0,2,1,0,0,0,0,0,0,0,0
"Guyana",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haiti",3,1,3,1,3,5,1,5,2,1,0,0,0,1,0,0,0,0,0,0,0
"Belize",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Honduras",2,2,1,3,3,4,8,5,2,4,0,1,0,0,0,0,0,0,0,0,0
"Jamaica",0,3,1,0,3,7,6,4,1,0,1,0,1,0,0,0,0,0,0,0,0
"Canada",39,46,24,36,165,224,177,108,86,67,55,33,19,6,4,2,1,0,0,0,0
"Colombia",8,18,20,26,61,99,91,61,27,22,15,4,1,2,0,3,2,0,0,0,0
"Cuba",4,4,4,0,17,31,29,15,18,8,3,4,3,0,0,0,0,0,0,0,0
"Mexico",15,18,27,69,99,127,113,62,42,26,9,6,1,2,1,0,1,1,0,0,0
"Nicaragua",0,0,1,0,3,5,5,2,3,1,0,0,1,0,0,0,0,0,0,0,0
"Panama",0,1,0,2,4,5,3,3,4,2,1,1,0,0,0,0,0,0,0,0,0
"Paraguay",1,0,1,7,4,12,7,2,6,1,1,0,2,0,0,0,0,0,0,0,0
"Peru",5,6,6,11,24,46,47,26,15,12,5,3,5,1,0,0,0,0,0,0,0
"Suriname",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trinidad and Tobago",0,0,0,0,2,4,4,2,0,2,1,0,1,0,0,0,0,0,0,0,0
"Uruguay",0,0,0,1,2,4,8,6,1,2,1,0,1,2,0,1,0,0,0,0,0
"Venezuela",4,5,4,10,20,29,30,24,14,11,2,2,2,1,1,0,0,1,0,0,0
"United States",298,271,205,223,364,506,469,387,337,274,212,126,76,25,11,6,1,2,0,0,0
"Dominica",0,0,3,2,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Grenada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Saint Lucia",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saint Vincent and the Grenadines",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saint Kitts and Nevis",1,2,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Afghanistan",56,53,44,147,108,75,55,22,14,8,6,1,5,0,2,1,0,0,0,0,0
"Bahrain",0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bhutan",2,2,2,0,1,4,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0
"Brunéi Darussalam",0,0,0,3,3,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0
"Myanmar",3,0,0,5,10,5,2,2,7,2,2,0,0,0,0,0,0,0,0,0,0
"Sri Lanka",22,48,30,32,94,181,137,97,43,26,6,11,3,6,3,4,0,0,0,0,0
"Taiwan (Chinese Taipei)",5,3,1,50,99,55,29,20,5,4,2,3,0,1,0,0,0,0,0,0,0
"China",62,40,75,579,1194,604,381,237,123,68,36,35,25,13,6,5,1,1,1,0,0
"India",249,137,61,111,288,678,639,314,113,52,22,17,15,5,1,2,2,1,0,0,0
"Indonesia",7,15,7,65,51,45,46,25,13,11,8,1,0,1,4,0,0,0,0,0,0
"Iraq",17,16,11,19,45,55,37,18,10,4,4,5,2,3,2,0,0,0,0,0,0
"Iran",12,13,5,14,36,90,73,21,23,10,7,6,4,3,1,0,0,0,0,0,0
"Israel",21,10,5,8,21,27,48,25,14,10,7,7,0,1,2,1,0,0,0,0,0
"Japan",64,49,50,105,59,115,158,147,99,46,22,6,5,3,2,0,0,1,0,0,0
"Yemen",5,7,5,4,10,6,10,2,0,1,2,0,0,0,0,0,0,0,0,0,0
"Jordan",5,7,1,10,9,19,10,11,10,4,2,0,1,1,0,0,0,0,0,0,0
"Cambodia",1,1,1,3,7,11,5,6,3,0,1,0,0,1,0,0,0,0,0,0,0
"Qatar",2,1,1,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Kuwait",1,0,0,3,2,1,0,0,1,1,2,1,2,0,0,0,0,0,0,0,0
"Laos",0,1,0,1,0,7,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0
"Lebanon",8,2,3,20,52,73,36,27,11,2,3,0,1,3,0,0,1,0,0,0,0
"Malaysia",10,10,7,26,96,25,33,24,13,6,7,3,3,0,0,0,0,0,0,0,0
"Maldives",0,1,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oman",8,4,2,2,3,9,4,3,2,0,0,0,0,0,1,0,0,0,0,0,0
"Mongolia",2,6,8,15,14,12,6,12,2,5,5,5,2,0,1,0,0,0,0,0,0
"Nepal",3,2,1,9,24,29,18,7,7,3,3,1,0,1,0,1,0,0,0,0,0
"North Korea",1,2,1,0,0,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0
"United Arab Emirates",1,1,0,3,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
"Pakistan",30,18,11,9,39,65,61,31,12,12,6,1,4,0,0,1,0,1,0,0,0
"Philippines",18,28,22,27,49,129,133,73,56,22,20,9,5,2,1,0,0,0,0,0,0
"Saudi Arabia",16,16,18,36,14,24,24,12,10,1,3,4,2,3,1,0,1,1,0,0,0
"Singapore",5,6,8,3,56,40,17,18,12,10,5,0,0,0,0,0,1,0,0,0,0
"South Korea",10,20,19,71,157,102,91,57,37,23,10,2,0,1,0,0,0,0,0,0,0
"Syria",174,199,147,162,189,209,185,142,112,69,50,31,30,21,15,6,6,2,0,0,0
"Thailand",27,38,36,66,120,122,120,129,64,40,15,11,2,0,0,0,0,0,0,0,0
"Vietnam",9,13,13,82,107,77,60,36,13,16,5,6,2,2,0,1,0,0,0,0,0
"Bangladesh",7,2,5,5,18,29,22,12,7,3,0,2,0,0,0,0,0,0,0,0,0
"Timor-Leste",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Palestine",1,0,0,2,3,5,5,5,2,1,0,0,0,0,0,0,0,0,0,0,0
"Armenia",6,5,14,6,11,25,16,11,10,7,3,3,1,1,0,1,0,1,0,0,0
"Azerbaijan",9,6,7,21,30,21,15,3,2,0,0,0,1,0,0,0,0,0,0,0,0
"Georgia",2,4,3,5,10,16,14,9,12,4,4,1,1,0,0,0,0,0,0,0,0
"Kazakhstan",7,7,11,54,63,32,14,12,1,3,2,1,0,0,0,0,0,0,0,0,0
"Kyrgyzstan",0,0,3,1,7,6,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tajikistan",1,1,3,2,2,4,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0
"Turkmenistan",1,2,2,3,1,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0
"Uzbekistan",4,2,2,4,4,12,13,4,2,0,0,0,1,0,0,0,0,0,0,0,0
"Australia",37,35,20,25,58,72,100,79,60,46,23,14,13,8,0,0,0,0,0,0,0
"Fiji",1,0,0,0,1,2,1,1,2,0,2,1,1,0,0,0,0,0,0,0,0
"Nauru",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vanuatu",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"New Zealand",5,3,2,4,6,16,27,12,10,15,7,3,2,2,0,0,0,0,0,0,0
"Papua New Guinea",0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tonga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Samoa",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solomon Islands",0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tuvalu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kiribati",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marshall Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Micronesia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Palau",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cook Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
