canton,Sex - total,Male,Female
ZH,35578,19319,16259
BE,15180,8016,7164
LU,6687,3711,2976
UR,507,320,187
SZ,2127,1217,910
OW,498,290,208
NW,594,353,241
GL,641,416,225
ZG,3166,1757,1409
FR,5791,3034,2757
SO,3674,2075,1599
BS,7218,3756,3462
BL,4181,2198,1983
SH,1546,827,719
AR,624,333,291
AI,145,87,58
SG,8974,5154,3820
GR,4299,2384,1915
AG,10028,5653,4375
TG,4724,2584,2140
TI,9523,4892,4631
VD,25765,13428,12337
VS,7762,4160,3602
NE,3843,1995,1848
GE,23269,11196,12073
JU,979,541,438
