canton,Sex - total,Male,Female
ZH,34935,19055,15880
BE,13283,6997,6286
LU,6355,3369,2986
UR,459,271,188
SZ,2417,1382,1035
OW,435,239,196
NW,560,340,220
GL,558,334,224
ZG,2967,1611,1356
FR,4570,2499,2071
SO,3596,2098,1498
BS,6672,3440,3232
BL,3349,1746,1603
SH,1362,722,640
AR,584,323,261
AI,159,90,69
SG,8068,4593,3475
GR,3542,2000,1542
AG,9536,5196,4340
TG,4319,2326,1993
TI,6681,3419,3262
VD,24830,12870,11960
VS,6282,3447,2835
NE,2956,1567,1389
GE,20870,10041,10829
JU,702,365,337