canton,Sex - total,Male,Female
ZH,33072,17778,15294
BE,11789,6201,5588
LU,5946,3135,2811
UR,547,288,259
SZ,2002,1109,893
OW,407,228,179
NW,471,275,196
GL,574,300,274
ZG,2750,1468,1282
FR,4619,2543,2076
SO,3610,2047,1563
BS,6296,3270,3026
BL,3427,1806,1621
SH,1255,676,579
AR,585,308,277
AI,133,64,69
SG,8315,4783,3532
GR,3810,2084,1726
AG,9270,5161,4109
TG,4533,2458,2075
TI,6599,3459,3140
VD,24786,13036,11750
VS,6821,3860,2961
NE,2645,1429,1216
GE,18208,8989,9219
JU,695,369,326