name,migration
Switzerland,24006
Albania,142
Andorra,5
Belgium,1235
Bulgaria,1070
Denmark,525
Germany,27472
Finland,418
France,11571
Greece,1672
United Kingdom,4664
Ireland,548
Iceland,81
Italy,14098
Liechtenstein,106
Luxembourg,166
Malta,31
Monaco,4
Netherlands,1483
Norway,219
Austria,3004
Poland,3372
Portugal,18892
Romania,2084
San Marino,2
Sweden,821
Spain,6852
Turkey,1872
Hungary,2453
Vatican City State,0
Cyprus,61
Slovakia,1642
Czech Rep.,793
Serbia,1724
Croatia,499
Slovenia,477
Bosnia and Herz.,624
Montenegro,82
Macedonia,1489
Kosovo,2497
Estonia,135
Latvia,310
Lithuania,271
Moldova,79
Russia,2223
Ukraine,753
Belarus,169
Eq. Guinea,2
Ethiopia,314
Djibouti,12
Algeria,308
Angola,113
Botswana,6
Burundi,18
Benin,47
Côte d'Ivoire,250
Gabon,23
Gambia,114
Ghana,122
Guinea-Bissau,91
Guinea,117
Cameroon,268
Cabo Verde,41
Kenya,173
Comoros,4
Congo,22
Dem. Rep. Congo,206
Lesotho,2
Liberia,14
Libya,117
Madagascar,79
Malawi,13
Mali,44
Morocco,575
Mauritania,27
Mauritius,95
Mozambique,19
Niger,9
Nigeria,377
Burkina Faso,48
Zimbabwe,32
Rwanda,37
Zambia,21
Sao Tom� and Principe,1
Senegal,131
Seychelles,3
Sierra Leone,20
Somalia,425
South Africa,282
Sudan,74
Namibia,8
Swaziland,2
Tanzania,36
Togo,83
Chad,10
Tunisia,617
Uganda,46
Egypt,335
Central African Rep.,4
Eritrea,1567
S. Sudan,10
W. Sahara,1
Argentina,249
Bahamas,4
Barbados,7
Bolivia,148
Brazil,1934
Chile,171
Costa Rica,67
Dominican Rep.,392
Ecuador,256
El Salvador,31
Guatemala,45
Guyana,3
Haiti,42
Belize,2
Honduras,30
Jamaica,38
Canada,1062
Colombia,484
Cuba,137
Mexico,558
Nicaragua,38
Panama,39
Paraguay,53
Peru,218
Suriname,1
Trinidad and Tobago,19
Uruguay,41
Venezuela,139
United States,3857
Dominica,13
Grenada,1
Antigua and Barbuda,2
Saint Lucia,1
Saint Vincent and the Grenadines,1
Saint Kitts and Nevis,8
Afghanistan,955
Bahrain,13
Bhutan,8
Brunei,9
Myanmar,23
Sri Lanka,561
Taiwan,205
China,2830
India,2087
Indonesia,291
Iraq,330
Iran,576
Israel,226
Japan,873
Yemen,74
Jordan,73
Cambodia,29
Qatar,4
Kuwait,26
Lao PDR,10
Lebanon,189
Malaysia,241
Maldives,11
Oman,13
Mongolia,101
Nepal,70
Dem. Rep. Korea,13
United Arab Emirates,9
Pakistan,294
Philippines,465
Saudi Arabia,115
Singapore,187
Korea,432
Syria,662
Thailand,841
Vietnam,272
Bangladesh,161
Timor-Leste,0
Palestine,23
Armenia,106
Azerbaijan,124
Georgia,86
Kazakhstan,217
Kyrgyzstan,24
Tajikistan,25
Turkmenistan,7
Uzbekistan,88
Australia,546
Fiji,4
Nauru,0
Vanuatu,2
New Zealand,142
Papua New Guinea,8
Tonga,0
Samoa,6
Solomon Islands,10
Tuvalu,0
Kiribati,1
Marshall Islands,0
Micronesia,0
Palau,0
Cook Islands,0
Greenland,0
Puerto Rico,0
Falkland Is.,0
Somaliland,0
New Caledonia,0
Fr. S. Antarctic Lands,0
Solomon Is.,0